,filename,markssp_num
369,softmax_prob_chicago4_1848_1386.tif,95
370,softmax_prob_chicago4_2310_1848.tif,77
371,softmax_prob_chicago4_2772_1848.tif,79
372,softmax_prob_chicago4_2772_2772.tif,76
373,softmax_prob_chicago4_2772_4488.tif,69
374,softmax_prob_chicago4_4488_3234.tif,127
375,softmax_prob_chicago4_924_3234.tif,90
376,softmax_prob_chicago4_924_924.tif,72
377,softmax_prob_chicago5_0_0.tif,112
378,softmax_prob_chicago5_0_1848.tif,94
379,softmax_prob_chicago5_0_3234.tif,70
380,softmax_prob_chicago5_1386_1386.tif,84
381,softmax_prob_chicago5_1848_1386.tif,82
382,softmax_prob_chicago5_2772_1848.tif,79
383,softmax_prob_chicago5_2772_4158.tif,117
384,softmax_prob_chicago5_462_0.tif,108
385,softmax_prob_chicago5_462_3696.tif,62
386,softmax_prob_chicago5_462_4488.tif,83
387,softmax_prob_chicago5_462_924.tif,134
388,softmax_prob_chicago5_924_462.tif,104
389,softmax_prob_chicago6_0_4488.tif,86
390,softmax_prob_chicago6_1848_462.tif,69
391,softmax_prob_chicago6_4158_4158.tif,83
392,softmax_prob_chicago6_4488_4158.tif,80
393,softmax_prob_chicago6_462_4488.tif,87
394,softmax_prob_chicago7_1386_2772.tif,132
395,softmax_prob_chicago7_1386_3234.tif,88
396,softmax_prob_chicago7_1386_3696.tif,81
397,softmax_prob_chicago7_1386_4158.tif,108
398,softmax_prob_chicago7_1848_3696.tif,101
399,softmax_prob_chicago7_2310_3234.tif,96
400,softmax_prob_chicago7_3234_2310.tif,89
401,softmax_prob_chicago7_4158_1848.tif,108
402,softmax_prob_chicago7_4488_1848.tif,92
403,softmax_prob_chicago7_4488_4158.tif,80
404,softmax_prob_chicago7_924_3696.tif,83
405,softmax_prob_chicago8_0_2772.tif,45
406,softmax_prob_chicago8_1848_0.tif,67
407,softmax_prob_chicago8_1848_1386.tif,66
408,softmax_prob_chicago8_1848_4158.tif,98
409,softmax_prob_chicago8_1848_462.tif,67
410,softmax_prob_chicago8_2310_1386.tif,55
411,softmax_prob_chicago8_2310_3696.tif,112
412,softmax_prob_chicago8_2310_462.tif,53
413,softmax_prob_chicago8_3696_1848.tif,60
414,softmax_prob_chicago8_3696_2310.tif,75
415,softmax_prob_chicago8_3696_2772.tif,79
416,softmax_prob_chicago8_3696_3696.tif,68
417,softmax_prob_chicago8_4158_462.tif,87
418,softmax_prob_chicago8_4488_462.tif,81
419,softmax_prob_chicago8_462_1386.tif,60
420,softmax_prob_chicago8_462_3234.tif,61
421,softmax_prob_chicago9_0_2772.tif,91
422,softmax_prob_chicago9_0_3696.tif,80
423,softmax_prob_chicago9_1848_0.tif,88
424,softmax_prob_chicago9_1848_2772.tif,69
425,softmax_prob_chicago9_1848_3234.tif,79
426,softmax_prob_chicago9_2310_0.tif,73
427,softmax_prob_chicago9_2310_462.tif,132
428,softmax_prob_chicago9_3696_2310.tif,117
429,softmax_prob_chicago9_4158_2772.tif,81
430,softmax_prob_chicago9_4488_1848.tif,74
431,softmax_prob_chicago9_4488_924.tif,77
432,softmax_prob_chicago9_462_1386.tif,98
433,softmax_prob_chicago9_462_2310.tif,79
434,softmax_prob_chicago9_924_4158.tif,74
